Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity C-C_1	LFQ intensity C-C_2	LFQ intensity C-C_3	LFQ intensity C-C_4	LFQ intensity C-M_1	LFQ intensity C-M_2	LFQ intensity C-M_3	LFQ intensity C-M_4	LFQ intensity C-S_1	LFQ intensity C-S_2	LFQ intensity C-S_3	LFQ intensity C-S_4	LFQ intensity WD-C_1	LFQ intensity WD-C_2	LFQ intensity WD-C_3	LFQ intensity WD-C_4	LFQ intensity WD-M_1	LFQ intensity WD-M_2	LFQ intensity WD-M_3	LFQ intensity WD-M_4	LFQ intensity WD-S_1	LFQ intensity WD-S_2	LFQ intensity WD-S_3	LFQ intensity WD-S_4	Only identified by site	Reverse	Potential contaminant
11	E9PZR4;A0A0A0MQN0;A0A087WS51;Q9JL25	E9PZR4;A0A0A0MQN0;A0A087WS51;Q9JL25	Regulator of G-protein signaling 1	Rgs1	tr|E9PZR4|E9PZR4_MOUSE Regulator of G-protein-signaling 1 OS=Mus musculus OX=10090 GN=Rgs1 PE=4 SV=1;tr|A0A0A0MQN0|A0A0A0MQN0_MOUSE Regulator of G-protein-signaling 1 OS=Mus musculus OX=10090 GN=Rgs1 PE=4 SV=1;tr|A0A087WS51|A0A087WS51_MOUSE Regulator of G-	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15107000	0	0	0	0	0	0	0	0			
12	A0A087WSI5	A0A087WSI5		Gm29423	tr|A0A087WSI5|A0A087WSI5_MOUSE Predicted gene 29423 OS=Mus musculus OX=10090 GN=Gm29423 PE=4 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798200000	0	0			
13	A0A0R4J0X5;A0A0A0MQA3;Q00896;P07758;Q00898;D3YZL0	A0A0R4J0X5;A0A0A0MQA3;Q00896;P07758	Alpha-1-antitrypsin 1-3;Alpha-1-antitrypsin 1-1	Serpina1a;Serpina1c	tr|A0A0R4J0X5|A0A0R4J0X5_MOUSE Alpha-1-antitrypsin 1-3 OS=Mus musculus OX=10090 GN=Serpina1c PE=1 SV=1;tr|A0A0A0MQA3|A0A0A0MQA3_MOUSE Alpha-1-antitrypsin 1-1 OS=Mus musculus OX=10090 GN=Serpina1a PE=1 SV=1;sp|Q00896|A1AT3_MOUSE Alpha-1-antitrypsin 1-3 OS=M	15	15	6	954300000	23271000	0	163290000	0	0	0	41251000	0	61022000	0	0	635720000	0	128260000	38160000	0	0	0	0	0	0	0	0			
14	A0A0A0MQD6	A0A0A0MQD6		Dusp15	tr|A0A0A0MQD6|A0A0A0MQD6_MOUSE Dual-specificity protein phosphatase 15 OS=Mus musculus OX=10090 GN=Dusp15 PE=4 SV=1	1	1	1	0	0	2174700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		
15	S4R257;A0A1D5RLD8;A0A0A0MQF6;P16858;S4R1W1;V9GXA7	S4R257;A0A1D5RLD8;A0A0A0MQF6;P16858;S4R1W1	Glyceraldehyde-3-phosphate dehydrogenase	Gapdh;Gm3839	tr|S4R257|S4R257_MOUSE Glyceraldehyde-3-phosphate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Gapdh PE=1 SV=1;tr|A0A1D5RLD8|A0A1D5RLD8_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm10358 PE=1 SV=1;tr|A0A0A0MQF6|A0A0A	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20094000	0	0	0	0	0	0	0	0	0			
16	A0A0A0MQG7	A0A0A0MQG7		Urod	tr|A0A0A0MQG7|A0A0A0MQG7_MOUSE Uroporphyrinogen decarboxylase (Fragment) OS=Mus musculus OX=10090 GN=Urod PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14035000	0			
17	D6RIQ3;D6RI61;A0A0A0MQG9;A2AQZ5;A2AQZ2;A2AQZ7;A0A0R4J137;Q9DB26	D6RIQ3;D6RI61;A0A0A0MQG9;A2AQZ5;A2AQZ2;A2AQZ7;A0A0R4J137;Q9DB26	Phytanoyl-CoA dioxygenase domain-containing protein 1	Phyhd1	tr|D6RIQ3|D6RIQ3_MOUSE Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Phyhd1 PE=1 SV=1;tr|D6RI61|D6RI61_MOUSE Phytanoyl-CoA dioxygenase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Phyhd1 PE=1 SV=1;tr|A0A0A0MQG	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
18	J3QPS8;A0A0A0MQM0;P63242	J3QPS8;A0A0A0MQM0;P63242	Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1	Eif5a	tr|J3QPS8|J3QPS8_MOUSE Eukaryotic translation initiation factor 5A-1 OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1;tr|A0A0A0MQM0|A0A0A0MQM0_MOUSE Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1;sp|P63242|IF5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
19	A0A0A6YW67;E9Q9J0;E9Q4P0;E9Q5F6;E9QNP0;Q5SX22;P62984;P62983;P0CG49;P0CG50	A0A0A6YW67;E9Q9J0;E9Q4P0;E9Q5F6;E9QNP0;Q5SX22;P62984;P62983;P0CG49;P0CG50	Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin;Ubiquitin-related 1;Ubiquitin-related 2	Gm8797;Uba52;Kxd1;Ubc;Ubb;Rps27a	tr|A0A0A6YW67|A0A0A6YW67_MOUSE MCG23377, isoform CRA_b OS=Mus musculus OX=10090 GN=Gm8797 PE=4 SV=1;tr|E9Q9J0|E9Q9J0_MOUSE Ubiquitin-60S ribosomal protein L40 (Fragment) OS=Mus musculus OX=10090 GN=Uba52 PE=4 SV=1;tr|E9Q4P0|E9Q4P0_MOUSE KxDL motif-containi	4	4	4	0	155180000	147860000	0	0	0	0	0	0	0	0	0	0	0	123590000	0	0	0	0	0	0	0	0	0			
20	A0A0A6YWA6;A0A0A6YWB9;A0A0A6YW93;Q61391	A0A0A6YWA6;A0A0A6YWB9;A0A0A6YW93;Q61391	Neprilysin	Mme	tr|A0A0A6YWA6|A0A0A6YWA6_MOUSE Neprilysin (Fragment) OS=Mus musculus OX=10090 GN=Mme PE=1 SV=1;tr|A0A0A6YWB9|A0A0A6YWB9_MOUSE Neprilysin (Fragment) OS=Mus musculus OX=10090 GN=Mme PE=1 SV=1;tr|A0A0A6YW93|A0A0A6YW93_MOUSE Neprilysin (Fragment) OS=Mus muscul	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82188000	0	0			
21	E9QNQ4;A0A0A6YWG7;Q8CHG7	E9QNQ4;A0A0A6YWG7;Q8CHG7	Rap guanine nucleotide exchange factor 2	Rapgef2	tr|E9QNQ4|E9QNQ4_MOUSE Rap guanine nucleotide exchange factor 2 OS=Mus musculus OX=10090 GN=Rapgef2 PE=1 SV=1;tr|A0A0A6YWG7|A0A0A6YWG7_MOUSE Rap guanine nucleotide exchange factor 2 OS=Mus musculus OX=10090 GN=Rapgef2 PE=1 SV=1;sp|Q8CHG7|RPGF2_MOUSE Rap gu	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108960000	0	0	0			
22	A0A0A6YWP4;D6RGQ0;E9Q8H9;E9Q8I0;P06909	A0A0A6YWP4;D6RGQ0;E9Q8H9;E9Q8I0;P06909	Complement factor H	Cfh	tr|A0A0A6YWP4|A0A0A6YWP4_MOUSE Complement factor H (Fragment) OS=Mus musculus OX=10090 GN=Cfh PE=1 SV=1;tr|D6RGQ0|D6RGQ0_MOUSE Complement factor H OS=Mus musculus OX=10090 GN=Cfh PE=1 SV=1;tr|E9Q8H9|E9Q8H9_MOUSE Complement factor H OS=Mus musculus OX=10090	1	1	1	0	0	0	3331300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
23	A0A0B4J1L6;Q8CDK2	A0A0B4J1L6;Q8CDK2	Cytosolic carboxypeptidase 2	Agbl2	tr|A0A0B4J1L6|A0A0B4J1L6_MOUSE Cytosolic carboxypeptidase 2 (Fragment) OS=Mus musculus OX=10090 GN=Agbl2 PE=4 SV=5;sp|Q8CDK2|CBPC2_MOUSE Cytosolic carboxypeptidase 2 OS=Mus musculus OX=10090 GN=Agbl2 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	73399000	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
24	E9QKG6;A0A0G2JDZ9;E9Q804;Q99NH0	E9QKG6;A0A0G2JDZ9;E9Q804;Q99NH0	Ankyrin repeat domain-containing protein 17	Ankrd17	tr|E9QKG6|E9QKG6_MOUSE Ankyrin repeat domain-containing protein 17 OS=Mus musculus OX=10090 GN=Ankrd17 PE=1 SV=1;tr|A0A0G2JDZ9|A0A0G2JDZ9_MOUSE Ankyrin repeat domain-containing protein 17 OS=Mus musculus OX=10090 GN=Ankrd17 PE=1 SV=1;tr|E9Q804|E9Q804_MOUSE	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	19896000	0	0	0	0	0	0	0	0	0	0	0			
25	A0A0G2JFB8	A0A0G2JFB8			tr|A0A0G2JFB8|A0A0G2JFB8_MOUSE Pro-epidermal growth factor OS=Mus musculus OX=10090 GN=Egf PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75360000	0	0	0	0	0	0			
26	A0A0G2JFH2	A0A0G2JFH2			tr|A0A0G2JFH2|A0A0G2JFH2_MOUSE Microtubule-associated protein (Fragment) OS=Mus musculus OX=10090 GN=Map4 PE=1 SV=1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9175800	0	0	0	0	0	0	0	0	0			
27	A0A0G2JFL1;Q8BP48	A0A0G2JFL1;Q8BP48	Methionine aminopeptidase 1	Metap1	tr|A0A0G2JFL1|A0A0G2JFL1_MOUSE Methionine aminopeptidase 1 (Fragment) OS=Mus musculus OX=10090 GN=Metap1 PE=1 SV=1;sp|Q8BP48|MAP11_MOUSE Methionine aminopeptidase 1 OS=Mus musculus OX=10090 GN=Metap1 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6987600	0	0	0	0	0	0	0	0			
28	D3YWR7;A0A0G2JGJ1;Q8BVI4;D3Z099;A0A0G2JGY0;D3Z1A1	D3YWR7;A0A0G2JGJ1;Q8BVI4;D3Z099;A0A0G2JGY0;D3Z1A1	Dihydropteridine reductase	Qdpr	tr|D3YWR7|D3YWR7_MOUSE Dihydropteridine reductase OS=Mus musculus OX=10090 GN=Qdpr PE=1 SV=1;tr|A0A0G2JGJ1|A0A0G2JGJ1_MOUSE Dihydropteridine reductase OS=Mus musculus OX=10090 GN=Qdpr PE=1 SV=1;sp|Q8BVI4|DHPR_MOUSE Dihydropteridine reductase OS=Mus musculu	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	9057700	0	0	0	0	0	0	0	0	0	0	0			
29	A0A0J9YSF5	A0A0J9YSF5			tr|A0A0J9YSF5|A0A0J9YSF5_MOUSE Zinc finger protein 729b (Fragment) OS=Mus musculus OX=10090 GN=Zfp729b PE=4 SV=3	1	1	1	0	0	0	5850100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		
30	G3UY41;G3UX09;A0A0J9YUJ4;A0A0J9YUX4;Q80X52;E9Q579;A0A0J9YTY6;E9PV90;E9PY45;E9Q6M6;Q9D6M3	G3UY41;G3UX09;A0A0J9YUJ4;A0A0J9YUX4;Q80X52;E9Q579;A0A0J9YTY6;E9PV90;E9PY45;E9Q6M6;Q9D6M3	Mitochondrial glutamate carrier 1	Slc25a22	tr|G3UY41|G3UY41_MOUSE Mitochondrial glutamate carrier 1 (Fragment) OS=Mus musculus OX=10090 GN=Slc25a22 PE=1 SV=1;tr|G3UX09|G3UX09_MOUSE Mitochondrial glutamate carrier 1 (Fragment) OS=Mus musculus OX=10090 GN=Slc25a22 PE=1 SV=1;tr|A0A0J9YUJ4|A0A0J9YUJ4_M	1	1	1	0	0	0	0	3830000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		
31	A0A0J9YUS2;A0A0J9YV54;A0A0J9YU37;A0A0J9YVI1;E9Q8G4;Q60722	A0A0J9YUS2;A0A0J9YV54;A0A0J9YU37;A0A0J9YVI1;E9Q8G4;Q60722	Transcription factor 4	Tcf4	tr|A0A0J9YUS2|A0A0J9YUS2_MOUSE Transcription factor 4 (Fragment) OS=Mus musculus OX=10090 GN=Tcf4 PE=1 SV=1;tr|A0A0J9YV54|A0A0J9YV54_MOUSE Transcription factor 4 (Fragment) OS=Mus musculus OX=10090 GN=Tcf4 PE=1 SV=1;tr|A0A0J9YU37|A0A0J9YU37_MOUSE Transcrip	1	1	1	708990000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		
32	A0A0J9YU79;E9Q1Q9;P97328;A0A0J9YTU1;A0A0J9YUK6	A0A0J9YU79;E9Q1Q9;P97328;A0A0J9YTU1;A0A0J9YUK6	Ketohexokinase	Khk	tr|A0A0J9YU79|A0A0J9YU79_MOUSE Ketohexokinase OS=Mus musculus OX=10090 GN=Khk PE=1 SV=1;tr|E9Q1Q9|E9Q1Q9_MOUSE Ketohexokinase OS=Mus musculus OX=10090 GN=Khk PE=1 SV=1;sp|P97328|KHK_MOUSE Ketohexokinase OS=Mus musculus OX=10090 GN=Khk PE=1 SV=1;tr|A0A0J9YT	2	2	2	0	42813000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
33	D3YVC6;D3YZ18;A0A0J9YUD8;A0A0J9YUZ4;P63158	D3YVC6;D3YZ18;A0A0J9YUD8;A0A0J9YUZ4;P63158	High mobility group protein B1	Hmgb1	tr|D3YVC6|D3YVC6_MOUSE High mobility group protein B1 (Fragment) OS=Mus musculus OX=10090 GN=Hmgb1 PE=1 SV=1;tr|D3YZ18|D3YZ18_MOUSE High mobility group protein B1 (Fragment) OS=Mus musculus OX=10090 GN=Hmgb1 PE=1 SV=8;tr|A0A0J9YUD8|A0A0J9YUD8_MOUSE High mo	1	1	1	0	4773000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
34	A0A0J9YUV3;F7BJB9	A0A0J9YUV3;F7BJB9		Morc3	tr|A0A0J9YUV3|A0A0J9YUV3_MOUSE MORC family CW-type zinc finger protein 3 OS=Mus musculus OX=10090 GN=Morc3 PE=4 SV=1;sp|F7BJB9|MORC3_MOUSE MORC family CW-type zinc finger protein 3 OS=Mus musculus OX=10090 GN=Morc3 PE=1 SV=1	1	1	1	0	0	0	2215200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		
35	A0A0M3HEP7;P70704	A0A0M3HEP7;P70704	Phospholipid-transporting ATPase IA	Atp8a1	tr|A0A0M3HEP7|A0A0M3HEP7_MOUSE Phospholipid-transporting ATPase OS=Mus musculus OX=10090 GN=Atp8a1 PE=1 SV=1;sp|P70704|AT8A1_MOUSE Phospholipid-transporting ATPase IA OS=Mus musculus OX=10090 GN=Atp8a1 PE=1 SV=2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148370000			
36	A0A0N4SUK9	A0A0N4SUK9			tr|A0A0N4SUK9|A0A0N4SUK9_MOUSE Protein cereblon (Fragment) OS=Mus musculus OX=10090 GN=Crbn PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64658000	+		
37	A0A0N4SUN5	A0A0N4SUN5			tr|A0A0N4SUN5|A0A0N4SUN5_MOUSE Nuclear receptor-interacting protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Nrip2 PE=4 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11435000	0	0			
38	A0A0N4SUQ1;A0A0N4SUN8;A0A0N4SWH2;A0A0N4SV32;Q3UMP4;Q9CY58	A0A0N4SUQ1;A0A0N4SUN8;A0A0N4SWH2;A0A0N4SV32;Q3UMP4;Q9CY58	Plasminogen activator inhibitor 1 RNA-binding protein	Serbp1	tr|A0A0N4SUQ1|A0A0N4SUQ1_MOUSE Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus OX=10090 GN=Serbp1 PE=1 SV=1;tr|A0A0N4SUN8|A0A0N4SUN8_MOUSE Plasminogen activator inhibitor 1 RNA-binding protein OS=Mus musculus OX=10090 GN=Serbp1 PE=1 S	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4794000	0	0	0	0	0	0	0	0	0			
39	A0A0N4SV66;C0HKE3;C0HKE1;C0HKE2;Q8CGP4;C0HKE7;C0HKE5;Q8R1M2;Q64523;C0HKE6;C0HKE8;Q8CGP6;C0HKE9;Q6GSS7;Q8CGP5;Q8CGP7;Q8BFU2;C0HKE4;P27661;P0C0S6;Q3THW5;Q8R029;Q3UA95;Q64522;G3UWL7	A0A0N4SV66;C0HKE3;C0HKE1;C0HKE2;Q8CGP4;C0HKE7;C0HKE5;Q8R1M2;Q64523;C0HKE6;C0HKE8;Q8CGP6;C0HKE9;Q6GSS7;Q8CGP5;Q8CGP7;Q8BFU2;C0HKE4;P27661;P0C0S6;Q3THW5	Histone H2A;Histone H2A.J;Histone H2A type 2-C;Histone H2A type 1-H;Histone H2A type 2-A;Histone H2A type 1-F;Histone H2A type 1-K;Histone H2A type 3;Histone H2AX;Histone H2A.Z;Histone H2A.V	Hist1h2aa;H2afj;Hist2h2ac;Hist1h2ah;Hist2h2aa1;Hist1h2af;Hist1h2ak;Hist3h2a;H2afx;H2afz;H2afv	tr|A0A0N4SV66|A0A0N4SV66_MOUSE Histone H2A OS=Mus musculus OX=10090 GN=H2afj PE=1 SV=1;sp|C0HKE3|H2A1D_MOUSE Histone H2A type 1-D OS=Mus musculus OX=10090 GN=Hist1h2ad PE=1 SV=1;sp|C0HKE1|H2A1B_MOUSE Histone H2A type 1-B OS=Mus musculus OX=10090 GN=Hist1h2	3	3	3	0	0	69628000	238740000	60506000	0	264640000	0	75257000	0	0	0	74899000	0	0	133360000	0	127910000	50662000	73627000	137270000	0	0	114350000			
40	A0A0N4SVE5;Q9DCM2	A0A0N4SVE5;Q9DCM2	Glutathione S-transferase kappa 1	Gstk1	tr|A0A0N4SVE5|A0A0N4SVE5_MOUSE Glutathione S-transferase kappa 1 OS=Mus musculus OX=10090 GN=Gstk1 PE=1 SV=1;sp|Q9DCM2|GSTK1_MOUSE Glutathione S-transferase kappa 1 OS=Mus musculus OX=10090 GN=Gstk1 PE=1 SV=3	1	1	1	0	0	0	0	0	0	0	49278000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
41	A0A0N4SVK8	A0A0N4SVK8			tr|A0A0N4SVK8|A0A0N4SVK8_MOUSE [Protein ADP-ribosylarginine] hydrolase-like protein 1 OS=Mus musculus OX=10090 GN=Adprhl1 PE=1 SV=1	1	1	1	0	0	0	7948700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+		
42	A0A0N4SVS6;P53996	A0A0N4SVS6;P53996	Cellular nucleic acid-binding protein	Cnbp	tr|A0A0N4SVS6|A0A0N4SVS6_MOUSE Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp PE=1 SV=1;sp|P53996|CNBP_MOUSE Cellular nucleic acid-binding protein OS=Mus musculus OX=10090 GN=Cnbp PE=1 SV=2	2	2	2	0	4600000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
43	A0A0N4SVV4;Q9DD06	A0A0N4SVV4;Q9DD06	Retinoic acid receptor responder protein 2	Rarres2	tr|A0A0N4SVV4|A0A0N4SVV4_MOUSE Retinoic acid receptor responder protein 2 OS=Mus musculus OX=10090 GN=Rarres2 PE=1 SV=1;sp|Q9DD06|RARR2_MOUSE Retinoic acid receptor responder protein 2 OS=Mus musculus OX=10090 GN=Rarres2 PE=1 SV=1	2	2	2	0	0	0	7265100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
44	G5E8Q5;G5E8Q6;A0A0N4SW97;Q8BZJ7	G5E8Q5;G5E8Q6;A0A0N4SW97;Q8BZJ7	DCN1-like protein;DCN1-like protein 2	Dcun1d2	tr|G5E8Q5|G5E8Q5_MOUSE DCN1-like protein OS=Mus musculus OX=10090 GN=Dcun1d2 PE=1 SV=1;tr|G5E8Q6|G5E8Q6_MOUSE DCN1-like protein OS=Mus musculus OX=10090 GN=Dcun1d2 PE=1 SV=1;tr|A0A0N4SW97|A0A0N4SW97_MOUSE DCN1-like protein OS=Mus musculus OX=10090 GN=Dcun1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119440000	+		
