Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Mutated peptide count	Mutation names	Mutated peptide count C-C_1	Mutation names C-C_1	Mutated peptide count C-C_2	Mutation names C-C_2	Mutated peptide count C-C_3	Mutation names C-C_3	Mutated peptide count C-C_4	Mutation names C-C_4	Mutated peptide count C-M_1	Mutation names C-M_1	Mutated peptide count C-M_2	Mutation names C-M_2	Mutated peptide count C-M_3	Mutation names C-M_3	Mutated peptide count C-M_4	Mutation names C-M_4	Mutated peptide count C-S_1	Mutation names C-S_1	Mutated peptide count C-S_2	Mutation names C-S_2	Mutated peptide count C-S_3	Mutation names C-S_3	Mutated peptide count C-S_4	Mutation names C-S_4	Mutated peptide count WD-C_1	Mutation names WD-C_1	Mutated peptide count WD-C_2	Mutation names WD-C_2	Mutated peptide count WD-C_3	Mutation names WD-C_3	Mutated peptide count WD-C_4	Mutation names WD-C_4	Mutated peptide count WD-M_1	Mutation names WD-M_1	Mutated peptide count WD-M_2	Mutation names WD-M_2	Mutated peptide count WD-M_3	Mutation names WD-M_3	Mutated peptide count WD-M_4	Mutation names WD-M_4	Mutated peptide count WD-S_1	Mutation names WD-S_1	Mutated peptide count WD-S_2	Mutation names WD-S_2	Mutated peptide count WD-S_3	Mutation names WD-S_3	Mutated peptide count WD-S_4	Mutation names WD-S_4	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides C-C_1	Peptides C-C_2	Peptides C-C_3	Peptides C-C_4	Peptides C-M_1	Peptides C-M_2	Peptides C-M_3	Peptides C-M_4	Peptides C-S_1	Peptides C-S_2	Peptides C-S_3	Peptides C-S_4	Peptides WD-C_1	Peptides WD-C_2	Peptides WD-C_3	Peptides WD-C_4	Peptides WD-M_1	Peptides WD-M_2	Peptides WD-M_3	Peptides WD-M_4	Peptides WD-S_1	Peptides WD-S_2	Peptides WD-S_3	Peptides WD-S_4	Razor + unique peptides C-C_1	Razor + unique peptides C-C_2	Razor + unique peptides C-C_3	Razor + unique peptides C-C_4	Razor + unique peptides C-M_1	Razor + unique peptides C-M_2	Razor + unique peptides C-M_3	Razor + unique peptides C-M_4	Razor + unique peptides C-S_1	Razor + unique peptides C-S_2	Razor + unique peptides C-S_3	Razor + unique peptides C-S_4	Razor + unique peptides WD-C_1	Razor + unique peptides WD-C_2	Razor + unique peptides WD-C_3	Razor + unique peptides WD-C_4	Razor + unique peptides WD-M_1	Razor + unique peptides WD-M_2	Razor + unique peptides WD-M_3	Razor + unique peptides WD-M_4	Razor + unique peptides WD-S_1	Razor + unique peptides WD-S_2	Razor + unique peptides WD-S_3	Razor + unique peptides WD-S_4	Unique peptides C-C_1	Unique peptides C-C_2	Unique peptides C-C_3	Unique peptides C-C_4	Unique peptides C-M_1	Unique peptides C-M_2	Unique peptides C-M_3	Unique peptides C-M_4	Unique peptides C-S_1	Unique peptides C-S_2	Unique peptides C-S_3	Unique peptides C-S_4	Unique peptides WD-C_1	Unique peptides WD-C_2	Unique peptides WD-C_3	Unique peptides WD-C_4	Unique peptides WD-M_1	Unique peptides WD-M_2	Unique peptides WD-M_3	Unique peptides WD-M_4	Unique peptides WD-S_1	Unique peptides WD-S_2	Unique peptides WD-S_3	Unique peptides WD-S_4	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Sequence coverage C-C_1 [%]	Sequence coverage C-C_2 [%]	Sequence coverage C-C_3 [%]	Sequence coverage C-C_4 [%]	Sequence coverage C-M_1 [%]	Sequence coverage C-M_2 [%]	Sequence coverage C-M_3 [%]	Sequence coverage C-M_4 [%]	Sequence coverage C-S_1 [%]	Sequence coverage C-S_2 [%]	Sequence coverage C-S_3 [%]	Sequence coverage C-S_4 [%]	Sequence coverage WD-C_1 [%]	Sequence coverage WD-C_2 [%]	Sequence coverage WD-C_3 [%]	Sequence coverage WD-C_4 [%]	Sequence coverage WD-M_1 [%]	Sequence coverage WD-M_2 [%]	Sequence coverage WD-M_3 [%]	Sequence coverage WD-M_4 [%]	Sequence coverage WD-S_1 [%]	Sequence coverage WD-S_2 [%]	Sequence coverage WD-S_3 [%]	Sequence coverage WD-S_4 [%]	Intensity	Intensity C-C_1	Intensity C-C_2	Intensity C-C_3	Intensity C-C_4	Intensity C-M_1	Intensity C-M_2	Intensity C-M_3	Intensity C-M_4	Intensity C-S_1	Intensity C-S_2	Intensity C-S_3	Intensity C-S_4	Intensity WD-C_1	Intensity WD-C_2	Intensity WD-C_3	Intensity WD-C_4	Intensity WD-M_1	Intensity WD-M_2	Intensity WD-M_3	Intensity WD-M_4	Intensity WD-S_1	Intensity WD-S_2	Intensity WD-S_3	Intensity WD-S_4	LFQ intensity C-C_1	LFQ intensity C-C_2	LFQ intensity C-C_3	LFQ intensity C-C_4	LFQ intensity C-M_1	LFQ intensity C-M_2	LFQ intensity C-M_3	LFQ intensity C-M_4	LFQ intensity C-S_1	LFQ intensity C-S_2	LFQ intensity C-S_3	LFQ intensity C-S_4	LFQ intensity WD-C_1	LFQ intensity WD-C_2	LFQ intensity WD-C_3	LFQ intensity WD-C_4	LFQ intensity WD-M_1	LFQ intensity WD-M_2	LFQ intensity WD-M_3	LFQ intensity WD-M_4	LFQ intensity WD-S_1	LFQ intensity WD-S_2	LFQ intensity WD-S_3	LFQ intensity WD-S_4	MS/MS count C-C_1	MS/MS count C-C_2	MS/MS count C-C_3	MS/MS count C-C_4	MS/MS count C-M_1	MS/MS count C-M_2	MS/MS count C-M_3	MS/MS count C-M_4	MS/MS count C-S_1	MS/MS count C-S_2	MS/MS count C-S_3	MS/MS count C-S_4	MS/MS count WD-C_1	MS/MS count WD-C_2	MS/MS count WD-C_3	MS/MS count WD-C_4	MS/MS count WD-M_1	MS/MS count WD-M_2	MS/MS count WD-M_3	MS/MS count WD-M_4	MS/MS count WD-S_1	MS/MS count WD-S_2	MS/MS count WD-S_3	MS/MS count WD-S_4	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A0U1RNH1;A0A0U1RPT9;Q9DA08	A0A0U1RNH1;A0A0U1RPT9;Q9DA08	1;1;1	1;1;1	1;1;1	SAGA-associated factor 29 homolog	Ccdc101	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A0U1RNH1|A0A0U1RNH1_MOUSE SAGA-associated factor 29 OS=Mus musculus OX=10090 GN=Sgf29 PE=1 SV=1;tr|A0A0U1RPT9|A0A0U1RPT9_MOUSE SAGA-associated factor 29 OS=Mus musculus OX=10090 GN=Sgf29 PE=1 SV=1;sp|Q9DA08|SGF29_MOUSE SAGA-associated factor 29 OS=Mus	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6.6	6.6	6.6	17.307	152	152;163;293	1	1	0.0057034	5.6006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6	30915000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30915000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13693000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				61	2357	True	2409	24381	32952	32952	48	45
A2AW79;F6ZJ55;A0A0U1RNY4;A0A0U1RNK7;E9PX48;A2A9M5;A2A9M4;Q8R1A4	A2AW79;F6ZJ55;A0A0U1RNY4;A0A0U1RNK7;E9PX48;A2A9M5;A2A9M4;Q8R1A4	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Dedicator of cytokinesis protein 7	Dock7	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A2AW79|A2AW79_MOUSE Dedicator of cytokinesis protein 7 (Fragment) OS=Mus musculus OX=10090 GN=Dock7 PE=1 SV=2;tr|F6ZJ55|F6ZJ55_MOUSE Dedicator of cytokinesis protein 7 (Fragment) OS=Mus musculus OX=10090 GN=Dock7 PE=1 SV=1;tr|A0A0U1RNY4|A0A0U1RNY4_MOUSE	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6.5	6.5	6.5	26.952	247	247;255;811;2098;2100;2128;2130;2130	1	1	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	0	0	142470000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142470000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80970000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			62	1163	True	1189	10620	15229	15229	49;50	32;35
A0A0U1RNK9;Q9DCW4	A0A0U1RNK9;Q9DCW4	1;1	1;1	1;1	Electron transfer flavoprotein subunit beta	Etfb	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A0U1RNK9|A0A0U1RNK9_MOUSE Electron transfer flavoprotein subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=2;sp|Q9DCW4|ETFB_MOUSE Electron transfer flavoprotein subunit beta OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=3	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.9	7.9	7.9	19.281	177	177;255	1	1	1	-2	0	0	7.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19235000	0	0	19235000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8557900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			63	1489	True	1518	14997	20887	20887	51	146
A0A0U1RNP2;E9PYH6	A0A0U1RNP2;E9PYH6	1;1	1;1	1;1	Histone-lysine N-methyltransferase	Setd1a	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A0U1RNP2|A0A0U1RNP2_MOUSE Predicted gene, 49388 (Fragment) OS=Mus musculus OX=10090 GN=Gm49388 PE=4 SV=1;sp|E9PYH6|SET1A_MOUSE Histone-lysine N-methyltransferase SETD1A OS=Mus musculus OX=10090 GN=Setd1a PE=1 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.9	0.9	0.9	127.86	1173	1173;1716	1	1	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	2736700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2736700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			64	1967	True	2009	19696	26893	26893	52;53	1071;1075
A0A0U1RP15	A0A0U1RP15	1	1	1			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A0U1RP15|A0A0U1RP15_MOUSE Sodium/glucose cotransporter 2 (Fragment) OS=Mus musculus OX=10090 GN=Slc5a2 PE=1 SV=1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	6.4	6.4	6.4	32.386	297	297	1	10	0.0058594	5.6391	0	6.4	0	6.4	0	0	0	0	6.4	6.4	0	0	6.4	0	0	0	6.4	6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	10				65	1481	True	1510	14955;14956;14957;14958;14959;14960;14961;14962;14963;14964	20839;20840;20841;20842;20843;20844;20845;20846;20847;20848	20846	54;55;56;57;58	280;282;285;287;290
A0A0U1RPX3	A0A0U1RPX3	1	1	1			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A0U1RPX3|A0A0U1RPX3_MOUSE Deoxyguanosine kinase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Dguok PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.9	3.9	3.9	23.477	205	205	1	2	0.0045455	6.1558	0	0	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	0	48037000	0	0	0	0	35122000	0	0	0	0	0	0	0	0	0	0	0	0	12915000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9136900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				66	1471	True	1500	14920;14921	20787;20788	20788		
A0A140LHB4;D3Z253;Q9DCQ2	A0A140LHB4;D3Z253;Q9DCQ2	1;1;1	1;1;1	1;1;1	Putative L-aspartate dehydrogenase	Aspdh	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A140LHB4|A0A140LHB4_MOUSE Putative L-aspartate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Aspdh PE=1 SV=1;tr|D3Z253|D3Z253_MOUSE Putative L-aspartate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Aspdh PE=1 SV=8;sp|Q9DCQ2|ASPD_MOUSE P	3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1	18.1	18.1	15.793	144	144;255;287	1	2	0	17.498	0	18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28336000	0	28336000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7584000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2				67	1051	True	1075	9541;9542	13720;13721	13720		
A0A140LHL5;Q8VDQ8	A0A140LHL5;Q8VDQ8	1;1	1;1	1;1	NAD-dependent protein deacetylase sirtuin-2	Sirt2	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A140LHL5|A0A140LHL5_MOUSE NAD-dependent protein deacetylase OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=1;sp|Q8VDQ8|SIR2_MOUSE NAD-dependent protein deacetylase sirtuin-2 OS=Mus musculus OX=10090 GN=Sirt2 PE=1 SV=2	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	3.1	3.1	39.425	351	351;389	1	1	0.0085763	5.4756	0	0	0	0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89553000	0	0	0	0	0	89553000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32195000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				68	1279	True	1305	11081	15817	15817	59;60	169;172
A0A140LJ69	A0A140LJ69	1	1	1			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A140LJ69|A0A140LJ69_MOUSE Protein unc-13 homolog B OS=Mus musculus OX=10090 GN=Unc13b PE=1 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	491.03	4390	4390	1	1	0.0056711	5.5871	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69089000	0	0	0	0	0	0	0	0	0	69089000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17376000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				69	2275	True	2321	23836	32159	32159		
A0A140LJ91;E9PYI1	A0A140LJ91;E9PYI1	1;1	1;1	1;1		Zfp568	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A140LJ91|A0A140LJ91_MOUSE Zinc finger protein 568 (Fragment) OS=Mus musculus OX=10090 GN=Zfp568 PE=4 SV=1;sp|E9PYI1|ZN568_MOUSE Zinc finger protein 568 OS=Mus musculus OX=10090 GN=Znf568 PE=1 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8.4	8.4	8.4	15.48	131	131;671	1	1	1	-2	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	0	0	0	0	0	0	0	0	0	0	55740000	0	0	0	0	0	0	0	0	0	0	0	55740000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20337000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			70	1650	True	1680	17994	24630	24630	61;62	1;7
A0A140T8V7;Z4YN82;Q80U23	A0A140T8V7;Z4YN82;Q80U23	1;1;1	1;1;1	1;1;1	Syntaphilin	Snph	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A140T8V7|A0A140T8V7_MOUSE Syntaphilin (Fragment) OS=Mus musculus OX=10090 GN=Snph PE=1 SV=2;tr|Z4YN82|Z4YN82_MOUSE Syntaphilin (Fragment) OS=Mus musculus OX=10090 GN=Snph PE=1 SV=1;sp|Q80U23|SNPH_MOUSE Syntaphilin OS=Mus musculus OX=10090 GN=Snph PE=1	3	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	90	90	1.1363	10	10;87;495	1	1	1	-2	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33313000	0	0	0	0	0	33313000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11976000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			71	155	True	159	888	1229	1229	63	3
A0A1B0GQV5;P05367	A0A1B0GQV5;P05367	2;2	1;1	1;1	Serum amyloid A-2 protein;Amyloid protein A	Saa2	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A1B0GQV5|A0A1B0GQV5_MOUSE Serum amyloid A protein OS=Mus musculus OX=10090 GN=Saa2 PE=1 SV=1;sp|P05367|SAA2_MOUSE Serum amyloid A-2 protein OS=Mus musculus OX=10090 GN=Saa2 PE=1 SV=1	2	2	1	1	0	1	1	2	1	0	0	0	1	1	0	0	2	0	1	2	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	21.6	10.2	10.2	10.074	88	88;122	1	12	0	69.014	0	11.4	11.4	21.6	10.2	0	0	0	10.2	10.2	0	0	21.6	0	11.4	21.6	10.2	10.2	10.2	10.2	10.2	0	0	0	780210000	0	0	0	58277000	0	0	0	0	102390000	0	0	0	56936000	0	0	202530000	107420000	89281000	0	0	163380000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63162000	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	2	0	0	2	1	2	1	1	1	0	0	0	14				72	685;980	True;False	704;1002	6499;6500;6501;6502;6503;6504;6505;6506;6507;6508;6509;6510;9202;9203;9204;9205;9206;9207	9379;9380;9381;9382;9383;9384;9385;9386;9387;9388;9389;9390;9391;9392;13261;13262;13263;13264;13265;13266;13267;13268;13269;13270;13271;13272	9386;13266		
A0A1B0GR04	A0A1B0GR04	1	1	1			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A1B0GR04|A0A1B0GR04_MOUSE RNA polymerase II elongation factor ELL (Fragment) OS=Mus musculus OX=10090 GN=Ell PE=4 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	17.3	17.3	5.5824	52	52	1	1	0.0055866	5.5719	0	0	0	0	0	0	0	0	0	17.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87924000	0	0	0	0	0	0	0	0	0	87924000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22114000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				73	1620	True	1649	17915	24537	24537	64	1
A0A1B0GR26;Q8VC85	A0A1B0GR26;Q8VC85	1;1	1;1	1;1	U6 snRNA-associated Sm-like protein LSm1	Lsm1	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A1B0GR26|A0A1B0GR26_MOUSE U6 snRNA-associated Sm-like protein LSm1 OS=Mus musculus OX=10090 GN=Lsm1 PE=1 SV=1;sp|Q8VC85|LSM1_MOUSE U6 snRNA-associated Sm-like protein LSm1 OS=Mus musculus OX=10090 GN=Lsm1 PE=1 SV=1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39.5	39.5	39.5	5.0289	43	43;133	1	1	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	+			74	1694	True	1727	18056	24700	24700	65;66	1;4
A0A1B0GRM4;P60469	A0A1B0GRM4;P60469	1;1	1;1	1;1	Liprin-alpha-3	Ppfia3	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		tr|A0A1B0GRM4|A0A1B0GRM4_MOUSE Liprin-alpha-3 (Fragment) OS=Mus musculus OX=10090 GN=Ppfia3 PE=1 SV=1;sp|P60469|LIPA3_MOUSE Liprin-alpha-3 OS=Mus musculus OX=10090 GN=Ppfia3 PE=1 SV=2	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	1.2	1.2	115.16	1034	1034;1194	1	1	0.0060976	5.7143	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20815000	0	0	0	0	0	0	0	20815000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7532900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				75	1843	True	1883	18916	25880	25880	67	318
